"","time","datetime","dayinweek","hourinday","hourinweek","week"
"1",1,"2015-03-01 00:00:00",7,1,289,0
"2",2,"2015-03-01 00:30:00",7,2,290,0
"3",3,"2015-03-01 01:00:00",7,3,291,0
"4",4,"2015-03-01 01:30:00",7,4,292,0
"5",5,"2015-03-01 02:00:00",7,5,293,0
"6",6,"2015-03-01 02:30:00",7,6,294,0
"7",7,"2015-03-01 03:00:00",7,7,295,0
"8",8,"2015-03-01 03:30:00",7,8,296,0
"9",9,"2015-03-01 04:00:00",7,9,297,0
"10",10,"2015-03-01 04:30:00",7,10,298,0
"11",11,"2015-03-01 05:00:00",7,11,299,0
"12",12,"2015-03-01 05:30:00",7,12,300,0
"13",13,"2015-03-01 06:00:00",7,13,301,0
"14",14,"2015-03-01 06:30:00",7,14,302,0
"15",15,"2015-03-01 07:00:00",7,15,303,0
"16",16,"2015-03-01 07:30:00",7,16,304,0
"17",17,"2015-03-01 08:00:00",7,17,305,0
"18",18,"2015-03-01 08:30:00",7,18,306,0
"19",19,"2015-03-01 09:00:00",7,19,307,0
"20",20,"2015-03-01 09:30:00",7,20,308,0
"21",21,"2015-03-01 10:00:00",7,21,309,0
"22",22,"2015-03-01 10:30:00",7,22,310,0
"23",23,"2015-03-01 11:00:00",7,23,311,0
"24",24,"2015-03-01 11:30:00",7,24,312,0
"25",25,"2015-03-01 12:00:00",7,25,313,0
"26",26,"2015-03-01 12:30:00",7,26,314,0
"27",27,"2015-03-01 13:00:00",7,27,315,0
"28",28,"2015-03-01 13:30:00",7,28,316,0
"29",29,"2015-03-01 14:00:00",7,29,317,0
"30",30,"2015-03-01 14:30:00",7,30,318,0
"31",31,"2015-03-01 15:00:00",7,31,319,0
"32",32,"2015-03-01 15:30:00",7,32,320,0
"33",33,"2015-03-01 16:00:00",7,33,321,0
"34",34,"2015-03-01 16:30:00",7,34,322,0
"35",35,"2015-03-01 17:00:00",7,35,323,0
"36",36,"2015-03-01 17:30:00",7,36,324,0
"37",37,"2015-03-01 18:00:00",7,37,325,0
"38",38,"2015-03-01 18:30:00",7,38,326,0
"39",39,"2015-03-01 19:00:00",7,39,327,0
